PRICE,BRAND,BRAND_MODEL,SERIAL_NUMBER,PURPOSE,OPERATING_SYSTEM,YEAR,PROCESSOR_TYPE,AMD_MODEL,INTEL_MODEL,QUALCOME_MODEL,PROCESSOR_SPEED,GRAPHICS_NUMBER,GRAPHICS_TYPE,GRAPHICS_BRAND,NVIDIA_GRAPHICS,AMD_GRAPHICS,INTEL_GRAPHICS,DRIVE_NUMBER,DRIVE_TYPE,CAPACITY,RAM_NUMBER,RAM_TYPE,RAM_CAPACITY,SCREEN_SIZE,SCREEN_RESOLUTION,SCREEN_CONDITION,BATTERY WARE,BATTERY LIFE,KEYBORD LAYOUT,KEYBOARD CONDITION,LAPTOP POWER STATUS,LAPTOP CHARGER,LAPTOP USB,LAN PORT,WIFI,BLUETOOTH
,,,,,,,,N970,Celeron G3930T,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,N960,Celeron G3950,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,N870,Celeron G3900E,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,P860,Celeron G3902E,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,N660,Celeron G3900,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,A4-7210 with Radeon™ R3 Graphics,Celeron G3900T,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,P650,Celeron G3900TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,N640,Celeron G3920,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,A4-6210 with Radeon™ R3 Graphics,Celeron G1840,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,A10 PRO-7350B with Radeon™ R6 Graphics,Celeron G1840T,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,A8 PRO-7150B with Radeon™ R5 Graphics,Celeron G1850,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,A6 PRO-7050B with Radeon™ R4 Graphics,Celeron G1820T,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,A4 PRO-3350B with Radeon™ R4 Graphics,Celeron G1820,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,A4 PRO-3340B with Radeon™ HD 8240 Graphics,Celeron G1820T,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,FX-7600P with Radeon™ R7 Graphics,Celeron G1830,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,FX-7500 with Radeon™ R7 Graphics,Celeron G1620T,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,AMD Athlon™ PRO 200U Mobile Processor with Radeon™ Vega 3 Graphics,Celeron G1630,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,E2-7110 with Radeon™ R2 Graphics,Celeron G1610,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,E2-7110 with Radeon™ R2 Graphics,Celeron G1610T,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,E2-6110 with Radeon™ R2 Graphics,Celeron G1620,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,E2-3800 with Radeon™ HD 8280,Celeron J6412,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,E2-3000 with Radeon™ HD 8280,Celeron J6413,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,E1-7010 with Radeon™ R2 Graphics,Celeron J4025,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,E1-6010 with Radeon™ R2 Graphics,Celeron J4125,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,E1-2500 with Radeon™ HD 8240,Celeron J3355E,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,E1-2200 with Radeon™ HD 8210,Celeron J3455E,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,E1-2100 with Radeon™ HD 8210,Celeron J4005,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,TL-64,Celeron J4105,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,TL-60,Celeron J3355,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,TL-56,Celeron J3455,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,TL-52,Celeron J3060,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,AMD Ryzen™ 5 PRO 7545U,Celeron J3160,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,AMD Ryzen™ 9 PRO 7940HS,Celeron J1800,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,AMD Ryzen™ 7 PRO 7840HS,Celeron J1900,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,AMD Ryzen™ 7 PRO 7840U,Celeron J1750,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,AMD Ryzen™ 5 PRO 7540U,Celeron J1850,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,AMD Ryzen™ 5 PRO 7640HS,Celeron N4500,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,AMD Ryzen™ 5 PRO 7640U,Celeron N4505,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,A10 Micro-6700T with Radeon™ R6 Graphics,Celeron N5100,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,A4 Micro-6400T with Radeon™ R3 Graphics,Celeron N5105,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,A4-5100 with Radeon™ HD 8330,Celeron N6211,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,A4-5000 with Radeon™ HD 8330,Celeron N4020,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,E1 Micro-6200T with Radeon™ R2 Graphics,Celeron N4120,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron N3350E,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron N4000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron N4100,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron N3350,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron N3450,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron N3010,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron N3060,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron N3160,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron N3000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron N3050,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron N3150,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron N2808,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron N2840,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron N2940,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron N2807,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron N2830,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron N2930,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron N2806,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron N2815,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron N2820,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron N2920,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron N2805,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron N2810,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron N2910,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 7305L,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 7305E,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 7300,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 7305,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 6600HE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 6305,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 6305E,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 5305U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 5205U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 4305U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 4205U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 4305UE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 3867U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 3965Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 3865U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 3965U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 3855U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 3955U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 3215U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 3765U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 3205U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 3775U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 2970M,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 2000E,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 2002E,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 2957U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 2961Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 2981U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 2950M,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 2955U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 2980U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 1005M,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 1017U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 1019Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 1000M,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 1007U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 1020E,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 1020M,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 1037U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 1047UE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron G470,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 927UE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 887,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron B830,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron G465,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron G550T,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron G555,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 807,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 877,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron B820,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron G540T,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron G550,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 725C,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 797,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 867,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron B720,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron B815,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron G460,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 807UE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron B840,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron G440,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron G530,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron G530T,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron G540,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 787,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 827E,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron B710,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 857,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 847,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 847E,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron B800,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron B810E,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron B810,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 925,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron U3600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron ULV 763,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron E3500,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron P4600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron T3500,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron U3400,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron P4500,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron E3400,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron P1053,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron P4505,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron T3300,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron U3405,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron M ULV 743,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron SU2300,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron E3200,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron E3300,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron T3100,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron ULV 573,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron E1600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 900,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron T1600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron T1700,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron E1500,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron M ULV 722,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 450,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron M ULV 723,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 575,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 585,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron E1400,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 570,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron E1200,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 560,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 220,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron M ULV 523,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 540,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 420,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 430,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 440,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron M 530,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 530,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Celeron 1.83 GHz, 1M Cache, 667 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 365,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron M 520,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Celeron 1.66 GHz, 1M Cache, 667 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 347,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 360,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron M 440,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron 550,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 352,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 356,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron M ULV 423,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 310,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 355,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 341,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 350,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 350/350J,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 351,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron M 370,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron M ULV 373,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 325J,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 330,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 330J,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 335J,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 340,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 340J,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 345,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 345J,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 315,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 335,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Mobile Celeron 1.20 GHz, 256K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Mobile Celeron 1.40 GHz, 256K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Mobile Celeron 1.50 GHz, 256K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Mobile Celeron 1.60 GHz, 256K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 315/315J,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 320,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 325,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 325/325J,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 326,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 330/330J,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron D 335/335J,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Celeron M 320,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Celeron 2.50 GHz, 128K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Celeron M 600 MHz, 512K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Celeron 2.00 GHz, 128K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Celeron 1.70 GHz, 128K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Mobile Celeron 2.20 GHz, 256K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Mobile Celeron 2.40 GHz, 256K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Mobile Celeron LV 650 MHz, 256K Cache, 100 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Celeron 566 MHz, 128K Cache, 66 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Celeron 733 MHz, 128K Cache, 66 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Celeron 850 MHz, 128K Cache, 100 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Celeron 433 MHz, 128K Cache, 66 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Celeron 300 MHz, 128K Cache, 66 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Celeron 366 MHz, 128K Cache, 66 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Core Ultra 5 125H,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Core Ultra 5 125U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Core Ultra 5 134U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Core Ultra 5 135H,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Core Ultra 5 135U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Core Ultra 7 155H,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Core Ultra 7 155U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Core Ultra 7 164U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Core Ultra 7 165H,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Core Ultra 7 165U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Core Ultra 9 185H,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold 8500,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold 8505,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold 8505 (with IPU),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold G7400,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold G7400E,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold G7400T,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold G7400TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold G6405,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold G6405T,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold G6505,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold G6505T,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold G6605,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold 6500Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold 7505,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold G6400,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold G6400E,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold G6400T,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold G6400TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold G6500,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold G6500T,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold G6600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold 6405U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold G5420,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold G5420T,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold G5600T,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold G5620,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold 5405U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold 4417U,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold 4425Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold G5400,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pentium Gold G5400T,,,,,,,,,,,,,,,,,,,,,,,,,,,
